State_From,State_To,Day,Num_Units,DataSource,Fmax,Buffer,SurgeCorrection
West Virginia,New Jersey,2020-04-09,54.0,ode,0.19999999999999996,0.05,0.9
Massachusetts,New Jersey,2020-04-09,24.0,ode,0.19999999999999996,0.05,0.9
Delaware,New Jersey,2020-04-09,22.0,ode,0.19999999999999996,0.05,0.9
Maine,New York,2020-04-09,22.0,ode,0.19999999999999996,0.05,0.9
New Hampshire,New York,2020-04-09,22.0,ode,0.19999999999999996,0.05,0.9
Rhode Island,New Jersey,2020-04-09,20.0,ode,0.19999999999999996,0.05,0.9
Vermont,New York,2020-04-09,9.0,ode,0.19999999999999996,0.05,0.9
Arkansas,Louisiana,2020-04-09,2.0,ode,0.19999999999999996,0.05,0.9
Federal,New York,2020-04-12,359.0,ode,0.19999999999999996,0.05,0.9
Federal,New Jersey,2020-04-12,46.0,ode,0.19999999999999996,0.05,0.9
Federal,New York,2020-04-13,242.0,ode,0.19999999999999996,0.05,0.9
Federal,New Jersey,2020-04-13,129.0,ode,0.19999999999999996,0.05,0.9
Federal,Louisiana,2020-04-13,34.0,ode,0.19999999999999996,0.05,0.9
Federal,New Jersey,2020-04-14,169.0,ode,0.19999999999999996,0.05,0.9
Federal,Louisiana,2020-04-14,153.0,ode,0.19999999999999996,0.05,0.9
Federal,New York,2020-04-14,83.0,ode,0.19999999999999996,0.05,0.9
Federal,New Jersey,2020-04-15,267.0,ode,0.19999999999999996,0.05,0.9
Federal,Connecticut,2020-04-18,9.0,ode,0.19999999999999996,0.05,0.9
Pennsylvania,New York,2020-04-09,304.0,ode,0.19999999999999996,0.05,1.0
Ohio,New York,2020-04-09,276.0,ode,0.19999999999999996,0.05,1.0
North Carolina,New Jersey,2020-04-09,196.0,ode,0.19999999999999996,0.05,1.0
Michigan,New York,2020-04-09,187.0,ode,0.19999999999999996,0.05,1.0
Virginia,New Jersey,2020-04-09,142.0,ode,0.19999999999999996,0.05,1.0
South Carolina,New Jersey,2020-04-09,106.0,ode,0.19999999999999996,0.05,1.0
Maryland,New Jersey,2020-04-09,100.0,ode,0.19999999999999996,0.05,1.0
Massachusetts,New Jersey,2020-04-09,83.0,ode,0.19999999999999996,0.05,1.0
Mississippi,Louisiana,2020-04-09,77.0,ode,0.19999999999999996,0.05,1.0
Massachusetts,New York,2020-04-09,66.0,ode,0.19999999999999996,0.05,1.0
West Virginia,New Jersey,2020-04-09,54.0,ode,0.19999999999999996,0.05,1.0
Kentucky,New Jersey,2020-04-09,28.0,ode,0.19999999999999996,0.05,1.0
Delaware,New Jersey,2020-04-09,22.0,ode,0.19999999999999996,0.05,1.0
Maine,New York,2020-04-09,22.0,ode,0.19999999999999996,0.05,1.0
New Hampshire,New York,2020-04-09,22.0,ode,0.19999999999999996,0.05,1.0
Rhode Island,New Jersey,2020-04-09,20.0,ode,0.19999999999999996,0.05,1.0
Vermont,New York,2020-04-09,9.0,ode,0.19999999999999996,0.05,1.0
Federal,New York,2020-04-12,404.0,ode,0.19999999999999996,0.05,1.0
Federal,New Jersey,2020-04-12,46.0,ode,0.19999999999999996,0.05,1.0
Federal,New York,2020-04-13,256.0,ode,0.19999999999999996,0.05,1.0
Federal,New Jersey,2020-04-13,158.0,ode,0.19999999999999996,0.05,1.0
Federal,Louisiana,2020-04-13,36.0,ode,0.19999999999999996,0.05,1.0
Federal,New Jersey,2020-04-14,249.0,ode,0.19999999999999996,0.05,1.0
Federal,Louisiana,2020-04-14,153.0,ode,0.19999999999999996,0.05,1.0
Federal,New York,2020-04-14,48.0,ode,0.19999999999999996,0.05,1.0
Federal,New Jersey,2020-04-15,158.0,ode,0.19999999999999996,0.05,1.0
Federal,New York,2020-04-15,35.0,ode,0.19999999999999996,0.05,1.0
Federal,Connecticut,2020-04-18,9.0,ode,0.19999999999999996,0.05,1.0
Pennsylvania,New York,2020-04-09,304.0,ode,0.19999999999999996,0.1,0.5
Ohio,New York,2020-04-09,276.0,ode,0.19999999999999996,0.1,0.5
North Carolina,New Jersey,2020-04-09,196.0,ode,0.19999999999999996,0.1,0.5
Michigan,New York,2020-04-09,164.0,ode,0.19999999999999996,0.1,0.5
Indiana,New York,2020-04-09,153.0,ode,0.19999999999999996,0.1,0.5
Massachusetts,New York,2020-04-09,149.0,ode,0.19999999999999996,0.1,0.5
Virginia,New Jersey,2020-04-09,142.0,ode,0.19999999999999996,0.1,0.5
Georgia,New Jersey,2020-04-09,111.0,ode,0.19999999999999996,0.1,0.5
South Carolina,New Jersey,2020-04-09,106.0,ode,0.19999999999999996,0.1,0.5
Maryland,New Jersey,2020-04-09,100.0,ode,0.19999999999999996,0.1,0.5
Kentucky,New York,2020-04-09,98.0,ode,0.19999999999999996,0.1,0.5
Mississippi,Louisiana,2020-04-09,77.0,ode,0.19999999999999996,0.1,0.5
West Virginia,New Jersey,2020-04-09,54.0,ode,0.19999999999999996,0.1,0.5
Arkansas,Louisiana,2020-04-09,33.0,ode,0.19999999999999996,0.1,0.5
Delaware,New Jersey,2020-04-09,22.0,ode,0.19999999999999996,0.1,0.5
Maine,New York,2020-04-09,22.0,ode,0.19999999999999996,0.1,0.5
New Hampshire,New York,2020-04-09,22.0,ode,0.19999999999999996,0.1,0.5
Rhode Island,New Jersey,2020-04-09,20.0,ode,0.19999999999999996,0.1,0.5
Vermont,New York,2020-04-09,9.0,ode,0.19999999999999996,0.1,0.5
Alabama,Louisiana,2020-04-10,37.0,ode,0.19999999999999996,0.1,0.5
Arkansas,Louisiana,2020-04-11,32.0,ode,0.19999999999999996,0.1,0.5
Federal,New Jersey,2020-04-12,118.0,ode,0.19999999999999996,0.1,0.5
Federal,New York,2020-04-12,107.0,ode,0.19999999999999996,0.1,0.5
Federal,New York,2020-04-13,151.0,ode,0.19999999999999996,0.1,0.5
Federal,New Jersey,2020-04-13,74.0,ode,0.19999999999999996,0.1,0.5
Federal,New York,2020-04-14,225.0,ode,0.19999999999999996,0.1,0.5
Federal,New Jersey,2020-04-15,116.0,ode,0.19999999999999996,0.1,0.5
Federal,New York,2020-04-15,109.0,ode,0.19999999999999996,0.1,0.5
Federal,New Jersey,2020-04-16,170.0,ode,0.19999999999999996,0.1,0.5
Federal,Louisiana,2020-04-16,55.0,ode,0.19999999999999996,0.1,0.5
Federal,Louisiana,2020-04-17,75.0,ode,0.19999999999999996,0.1,0.5
Federal,New Jersey,2020-04-17,74.0,ode,0.19999999999999996,0.1,0.5
Federal,Connecticut,2020-04-17,14.0,ode,0.19999999999999996,0.1,0.5
Federal,New Jersey,2020-04-18,49.0,ode,0.19999999999999996,0.1,0.5
Federal,New Jersey,2020-04-19,114.0,ode,0.19999999999999996,0.1,0.5
Federal,Connecticut,2020-04-19,12.0,ode,0.19999999999999996,0.1,0.5
Pennsylvania,New York,2020-04-09,304.0,ode,0.19999999999999996,0.1,0.75
