State_From,State_To,Day,Num_Units,DataSource,Fmax,Buffer,SurgeCorrection,Lasso
Federal,Massachusetts,2020-04-20,26.0,ihme,0.09999999999999998,0.1,0.5,0.02
Federal,North Dakota,2020-04-20,5.0,ihme,0.09999999999999998,0.1,0.5,0.02
Federal,Massachusetts,2020-04-21,10.0,ihme,0.09999999999999998,0.1,0.5,0.02
Federal,North Dakota,2020-04-26,2.0,ihme,0.09999999999999998,0.1,0.5,0.02
California,New York,2020-04-09,350.0,ihme,0.09999999999999998,0.1,0.5,0.03
Texas,Connecticut,2020-04-09,239.0,ihme,0.09999999999999998,0.1,0.5,0.03
Florida,New Jersey,2020-04-09,204.0,ihme,0.09999999999999998,0.1,0.5,0.03
Pennsylvania,Massachusetts,2020-04-09,152.0,ihme,0.09999999999999998,0.1,0.5,0.03
Ohio,Massachusetts,2020-04-09,118.0,ihme,0.09999999999999998,0.1,0.5,0.03
Georgia,New Jersey,2020-04-09,115.0,ihme,0.09999999999999998,0.1,0.5,0.03
Illinois,New York,2020-04-09,115.0,ihme,0.09999999999999998,0.1,0.5,0.03
North Carolina,New Jersey,2020-04-09,98.0,ihme,0.09999999999999998,0.1,0.5,0.03
Indiana,New York,2020-04-09,77.0,ihme,0.09999999999999998,0.1,0.5,0.03
Tennessee,Connecticut,2020-04-09,77.0,ihme,0.09999999999999998,0.1,0.5,0.03
Arizona,New York,2020-04-09,75.0,ihme,0.09999999999999998,0.1,0.5,0.03
Missouri,New York,2020-04-09,74.0,ihme,0.09999999999999998,0.1,0.5,0.03
Texas,Massachusetts,2020-04-09,73.0,ihme,0.09999999999999998,0.1,0.5,0.03
Virginia,New Jersey,2020-04-09,71.0,ihme,0.09999999999999998,0.1,0.5,0.03
Louisiana,New Jersey,2020-04-09,57.0,ihme,0.09999999999999998,0.1,0.5,0.03
South Carolina,New Jersey,2020-04-09,53.0,ihme,0.09999999999999998,0.1,0.5,0.03
Colorado,New York,2020-04-09,52.0,ihme,0.09999999999999998,0.1,0.5,0.03
Maryland,New Jersey,2020-04-09,50.0,ihme,0.09999999999999998,0.1,0.5,0.03
Kentucky,Massachusetts,2020-04-09,49.0,ihme,0.09999999999999998,0.1,0.5,0.03
Alabama,New Jersey,2020-04-09,48.0,ihme,0.09999999999999998,0.1,0.5,0.03
Washington,New York,2020-04-09,47.0,ihme,0.09999999999999998,0.1,0.5,0.03
Minnesota,New York,2020-04-09,44.0,ihme,0.09999999999999998,0.1,0.5,0.03
Wisconsin,New York,2020-04-09,44.0,ihme,0.09999999999999998,0.1,0.5,0.03
